Item,Category,Damage,Properties,Mastery,Mastery Definition
Club,Martial,1d4 Bludgeoning,Light,Slow,"If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed 10 feet."
Dagger,Martial,1d4 Piercing,Finesse |Light |Thrown (Range 20/60),Nick,"When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
Greatclub,Martial,1d8 Bludgeoning,Two-Handed,Push,"If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
Handaxe,Martial,1d6 Slashing,Light |Thrown (Range 20/60),Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Javelin,Martial,1d6 Piercing,Thrown (Range 30/120),Slow,"If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed 10 feet."
Light Hammer,Martial,1d4 Bludgeoning,Thrown (Range 30/120),Nick,"When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
Mace,Martial,1d6 Bludgeoning,,Sap,"If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Quarterstaff,Martial,1d6 Bludgeoning,Versatile (1d8),Topple,"If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
Sickle,Martial,1d4 Slashing,Light,Nick,"When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
Spear,Martial,1d6 Piercing,Thrown (Range 20/60) |Versatile (1d8),Sap,"If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Dart,Martial,1d4 Piercing,Finesse |Thrown (Range 20/60),Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Light Crossbow,Martial,1d8 Piercing,Ammunition (Range 80/320; Bolt) |Loading |Two-Handed,Slow,"If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed 10 feet."
Shortbow,Martial,1d6 Piercing,Ammunition (Range 80/320; Arrow) |Two-Handed,Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Sling,Martial,1d4 Bludgeoning,Ammunition (Range 30/120; Bullet),Slow,"If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed 10 feet."
Battleaxe,Martial,1d8 Slashing,Versatile (1d10),Topple,"If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
Flail,Martial,1d8 Bludgeoning,,Sap,"If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Glaive,Martial,1d10 Slashing,Heavy |Reach |Two-Handed,Graze,"If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
Greataxe,Martial,1d12 Slashing,Heavy |Two-Handed,Cleave,"If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon’s damage, but don’t add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
Greatsword,Martial,2d6 Slashing,Heavy |Two-Handed,Graze,"If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
Halberd,Martial,1d10 Slashing,Heavy |Reach |Two-Handed,Cleave,"If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon’s damage, but don’t add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
Lance,Martial,1d10 Piercing,Heavy |Reach |Two-Handed (unless mounted),Topple,"If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
Longsword,Martial,1d8 Slashing,Versatile (1d10),Sap,"If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Maul,Martial,2d6 Bludgeoning,Heavy |Two-Handed,Topple,"If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
Morningstar,Martial,1d8 Piercing,,Sap,"If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Pike,Martial,1d10 Piercing,Heavy |Reach |Two-Handed,Push,"If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
Rapier,Martial,1d8 Piercing,Finesse,Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Scimitar,Martial,1d6 Slashing,Finesse |Light,Nick,"When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
Shortsword,Martial,1d6 Piercing,Finesse |Light,Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Trident,Martial,1d8 Piercing,Thrown (Range 20/60) |Versatile (1d10),Topple,"If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
Warhammer,Martial,1d8 Bludgeoning,Versatile (1d10),Push,"If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
War Pick,Martial,1d8 Piercing,Versatile (1d10),Sap,"If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Whip,Martial,1d4 Slashing,Finesse |Reach,Slow,"If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed 10 feet."
Blowgun,Martial,1 Piercing,Ammunition (Range 25/100; Needle) |Loading,Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Hand Crossbow,Martial,1d6 Piercing,Ammunition (Range 30/120; Bolt) |Light |Loading,Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
Heavy Crossbow,Martial,1d10 Piercing,Ammunition (Range 100/400; Bolt) |Heavy |Loading |Two-Handed,Push,"If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
Longbow,Martial,1d8 Piercing,Ammunition (Range 150/600; Arrow) |Heavy |Two-Handed,Slow,"If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed 10 feet."
Musket,Martial,1d12 Piercing,Ammunition (Range 40/120; Bullet) |Loading |Two-Handed,Slow,"If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn’t exceed 10 feet."
Pistol,Martial,1d10 Piercing,Ammunition (Range 30/90; Bullet) |Loading,Vex,"If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
